id,name,artist_name,duration,audio,audiodownload,file_path,genres,shareurl,album_id,album_name,album_image,artist_id,position,license_ccurl,stats_rate_downloads_total,stats_rate_listened_total,stats_playlisted,stats_favorited,stats_likes,stats_dislikes,stats_avgnote,stats_notes
366975,Antes de que Amanezca,Elena Tovar,196,https://prod-1.storage.jamendo.com/?trackid=366975&format=mp31&from=UbT68mya8Gr9b46CiGHErw%3D%3D%7CCnrlSwLUWbGOOfmCBSqBeg%3D%3D,https://prod-1.storage.jamendo.com/download/track/366975/mp31/,,pop,https://www.jamendo.com/track/366975,47388,Mar Adentro,https://usercontent.jamendo.com?type=album&id=47388&width=300&trackid=366975,351322,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,6853,26360,56,31,0,0,0,0
1578962,Осень,Вадим Спирихин,300,https://prod-1.storage.jamendo.com/?trackid=1578962&format=mp31&from=6nfEYFzihilJwFgq0h0Cww%3D%3D%7CmIfAltkIAM3FpNt8O24Jvg%3D%3D,https://prod-1.storage.jamendo.com/download/track/1578962/mp31/,,pop,https://www.jamendo.com/track/1578962,179583,Как молчит струна,https://usercontent.jamendo.com?type=album&id=179583&width=300&trackid=1578962,494084,6,http://creativecommons.org/licenses/by-nc-nd/3.0/,2192,9625,1,0,0,0,4,1
190709,Roturas,Pamela Garcia,199,https://prod-1.storage.jamendo.com/?trackid=190709&format=mp31&from=c57JaplJytgDp1ers600RA%3D%3D%7CZW56Qir0vZRioFy4q8Ewag%3D%3D,https://prod-1.storage.jamendo.com/download/track/190709/mp31/,,pop,https://www.jamendo.com/track/190709,28508,Entrega,https://usercontent.jamendo.com?type=album&id=28508&width=300&trackid=190709,340680,2,http://creativecommons.org/licenses/by-sa/3.0/,18786,55457,24,6,1,0,0,0
502931,City,Mezzamo,189,https://prod-1.storage.jamendo.com/?trackid=502931&format=mp31&from=1vsBLAUhBaRmyuiYw1zrng%3D%3D%7C6%2FwCCh7mAqtlMsCFLNIk7A%3D%3D,https://prod-1.storage.jamendo.com/download/track/502931/mp31/,,pop,https://www.jamendo.com/track/502931,58888,Aloneluna,https://usercontent.jamendo.com?type=album&id=58888&width=300&trackid=502931,349902,9,http://creativecommons.org/licenses/by-nc-nd/3.0/,9085,292440,76,36,0,0,8,2
295904,Soberbia,Antoniocamel,117,https://prod-1.storage.jamendo.com/?trackid=295904&format=mp31&from=n1UjHEAQOmwwTGBbUU4DnQ%3D%3D%7CTssRLtwTAmAw9IsJ8E%2BLZQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/295904/mp31/,,"pop,ambient",https://www.jamendo.com/track/295904,40665,Seven,https://usercontent.jamendo.com?type=album&id=40665&width=300&trackid=295904,339831,7,http://creativecommons.org/licenses/by-nc-nd/2.5/es/,7543,11290,6,2,0,0,2,2
45316,Mes lents colis,Toz,250,https://prod-1.storage.jamendo.com/?trackid=45316&format=mp31&from=EliP3UvFInoJJOubOle9dA%3D%3D%7CcHvsZKfF1IzXUaP4bi4VVA%3D%3D,https://prod-1.storage.jamendo.com/download/track/45316/mp31/,,pop,https://www.jamendo.com/track/45316,5424,Lac Toz,https://usercontent.jamendo.com?type=album&id=5424&width=300&trackid=45316,3182,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,7368,20343,24,8,0,1,0,1
1578965,Словно я не родился,Вадим Спирихин,205,https://prod-1.storage.jamendo.com/?trackid=1578965&format=mp31&from=GWg%2F2QxIBfbnmzTqQtbpgQ%3D%3D%7Ce7gqDLrjyzMB7ixdaOQq4g%3D%3D,https://prod-1.storage.jamendo.com/download/track/1578965/mp31/,,pop,https://www.jamendo.com/track/1578965,179583,Как молчит струна,https://usercontent.jamendo.com?type=album&id=179583&width=300&trackid=1578965,494084,14,http://creativecommons.org/licenses/by-nc-nd/3.0/,2406,65904,1,0,0,0,4,1
1513768,Soft Inspiring Corporate,AlexZavesa,129,https://prod-1.storage.jamendo.com/?trackid=1513768&format=mp31&from=orOJh61G6RJ3QswPWndQmg%3D%3D%7CiRH%2FFngy2wa%2BkxjAfCwH%2BQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1513768/mp31/,,"pop,corporate",https://www.jamendo.com/track/1513768,417579,Soft Inspiring Corporate,https://usercontent.jamendo.com?type=album&id=417579&width=300&trackid=1513768,486413,1,http://creativecommons.org/licenses/by-nc-nd/3.0/,9368,34841,39,15,0,0,0,0
173500,Vente,Mónica Alcobre,138,https://prod-1.storage.jamendo.com/?trackid=173500&format=mp31&from=OV3xDJaq9gsf6l4Kx8y1XA%3D%3D%7CiuE8%2FStZSFUEbh%2Fn8n7wZg%3D%3D,https://prod-1.storage.jamendo.com/download/track/173500/mp31/,,pop,https://www.jamendo.com/track/173500,25630,El Faro del Gato,https://usercontent.jamendo.com?type=album&id=25630&width=300&trackid=173500,339849,1,http://creativecommons.org/licenses/by-nc-nd/2.5/es/,9160,34976,72,35,0,2,0,0
1009672,Fireballs,Fresh Body Shop,147,https://prod-1.storage.jamendo.com/?trackid=1009672&format=mp31&from=vT5RaJXZmFYScwXejXmXLw%3D%3D%7C%2B2I0SzIS%2BNzl92nY57QULQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/1009672/mp31/,,"pop,electronic",https://www.jamendo.com/track/1009672,118858,Wizard,https://usercontent.jamendo.com?type=album&id=118858&width=300&trackid=1009672,7063,2,http://creativecommons.org/licenses/by-nc-nd/3.0/,14460,1232347,134,44,4,0,8,2
312689,BlackRain (Feat. Elle Rose),Tab,120,https://prod-1.storage.jamendo.com/?trackid=312689&format=mp31&from=yHjoHgHDw8RmWZoY4Am2xQ%3D%3D%7CLdg42e6%2F5Np6DF8o0tZnEg%3D%3D,https://prod-1.storage.jamendo.com/download/track/312689/mp31/,,pop,https://www.jamendo.com/track/312689,42332,Poet in the Dark,https://usercontent.jamendo.com?type=album&id=42332&width=300&trackid=312689,348835,17,http://creativecommons.org/licenses/by-nc-nd/3.0/,4139,57744,128,75,1,0,6,1
1578953,Запишите меня в герои!,Вадим Спирихин,241,https://prod-1.storage.jamendo.com/?trackid=1578953&format=mp31&from=BOwDG8e1jn8c0oJSFJRDMw%3D%3D%7Cb1jLk5jzZaISP%2FADHF8aNg%3D%3D,https://prod-1.storage.jamendo.com/download/track/1578953/mp31/,,pop,https://www.jamendo.com/track/1578953,179583,Как молчит струна,https://usercontent.jamendo.com?type=album&id=179583&width=300&trackid=1578953,494084,10,http://creativecommons.org/licenses/by-nc-nd/3.0/,2124,9086,1,0,0,0,4,1
242887,"te amo, desde cuando, no lo se",Antoniocamel,176,https://prod-1.storage.jamendo.com/?trackid=242887&format=mp31&from=RT8qtE7UjwHKReWnl525Ww%3D%3D%7CdhXvJZDsBDnNQgUZumjCBQ%3D%3D,https://prod-1.storage.jamendo.com/download/track/242887/mp31/,,"pop,ambient",https://www.jamendo.com/track/242887,35265,SODIO,https://usercontent.jamendo.com?type=album&id=35265&width=300&trackid=242887,339831,4,http://creativecommons.org/licenses/by-nc-nd/2.5/es/,42865,62642,9,4,1,0,2.6667,3
1433499,Through your eyes,KingJu Ro,293,https://prod-1.storage.jamendo.com/?trackid=1433499&format=mp31&from=BRyGyh%2BerG4j7e1gsn8I7A%3D%3D%7CpKmL5Gjxev3NQHqtDbuGTw%3D%3D,https://prod-1.storage.jamendo.com/download/track/1433499/mp31/,,"pop,ambient",https://www.jamendo.com/track/1433499,265060,Through your eyes,https://usercontent.jamendo.com?type=album&id=265060&width=300&trackid=1433499,498109,1,http://creativecommons.org/licenses/by-nd/3.0/,6614,13422,2,1,0,0,4,1
173257,no estoy solo,Antoniocamel,93,https://prod-1.storage.jamendo.com/?trackid=173257&format=mp31&from=R1x79wSOPuzU%2B533mL6%2Bdw%3D%3D%7CcNGEY1b7ty1YqjEAzvK5gA%3D%3D,https://prod-1.storage.jamendo.com/download/track/173257/mp31/,,"pop,ambient",https://www.jamendo.com/track/173257,25566,PERDIDOS,https://usercontent.jamendo.com?type=album&id=25566&width=300&trackid=173257,339831,2,http://creativecommons.org/licenses/by-nc-nd/3.0/,17225,10155,10,4,1,0,2,2
